lot_area,neighborhood,overall_quality,overall_condition,year_built,basement_area,first_floor_area,second_floor_area,full_bath,half_bath,bedrooms,kitchens,garage_area,pool_area,sale_price
14112,NAmes,5,7,1964,1152.0,1152,0,1,0,3,1,484.0,0,180500
8800,NAmes,6,7,1963,936.0,1054,0,1,0,3,1,480.0,0,137500
13260,NAmes,5,6,1962,1728.0,1728,0,2,0,6,2,0.0,0,84900
9717,NAmes,5,6,1950,1078.0,1078,0,1,0,2,1,240.0,0,142125
9724,NAmes,5,7,1952,1140.0,1929,532,2,0,3,1,400.0,0,197600
17360,NAmes,6,6,1949,782.0,1019,537,2,0,3,1,470.0,0,172500
7207,BrkSide,5,7,1958,858.0,858,0,1,0,2,1,0.0,0,116500
5350,BrkSide,3,2,1940,728.0,1306,0,1,0,3,1,0.0,0,76500
9920,NAmes,5,5,1954,1056.0,1063,0,1,0,3,1,280.0,0,128000
9600,NAmes,6,6,1955,1156.0,1520,0,1,0,3,1,364.0,0,153000
7800,NAmes,5,6,1954,1268.0,1268,0,1,0,2,1,244.0,0,132000
11380,NAmes,6,8,1966,1080.0,1128,0,1,0,2,1,315.0,0,178000
11600,NAmes,5,5,1960,1105.0,1105,1169,2,0,5,2,480.0,0,154300
19900,NAmes,7,5,1970,1947.0,2207,0,2,0,3,1,576.0,0,180000
16492,NAmes,6,6,1966,1517.0,1888,0,2,1,2,1,578.0,0,190000
8267,NAmes,5,5,1958,1604.0,1604,0,2,0,4,2,576.0,0,135000
8197,NAmes,7,5,2003,1480.0,1480,0,2,0,3,1,620.0,0,214000
8050,NAmes,5,5,1959,1143.0,1143,0,1,0,3,1,308.0,0,136000
10552,NAmes,5,5,1959,1398.0,1700,0,1,1,4,1,447.0,0,165500
8400,NAmes,5,6,1957,1314.0,1314,0,1,0,3,1,294.0,0,145000
8760,NAmes,6,6,1959,1194.0,1194,0,1,0,3,1,312.0,0,148000
12160,NAmes,5,5,1959,1188.0,1188,0,1,0,3,1,531.0,0,142000
9300,NAmes,5,5,1960,1268.0,1264,0,1,0,3,1,461.0,0,167500
10725,NAmes,5,5,1959,1206.0,1206,0,1,0,3,1,312.0,0,108538
10032,NAmes,6,5,1959,1244.0,1580,0,1,1,3,1,440.0,0,159500
8382,NAmes,4,5,1956,832.0,832,505,1,0,3,1,263.0,0,108000
10950,NAmes,5,7,1952,864.0,1064,0,1,0,2,1,318.0,0,135000
10895,NAmes,5,6,1955,972.0,972,0,1,0,3,1,305.0,0,122500
13587,NAmes,5,5,1958,988.0,988,0,1,0,2,1,264.0,0,119000
7922,NAmes,5,7,1953,1057.0,1057,0,1,0,3,1,246.0,0,109000
7898,NAmes,4,7,1920,576.0,985,0,1,0,2,1,676.0,0,105000
7200,NAmes,5,7,1955,0.0,827,0,1,0,2,1,392.0,0,107500
10200,NAmes,5,7,1954,1086.0,1086,0,1,0,3,1,490.0,0,144900
5868,NAmes,5,7,1956,936.0,936,0,1,0,2,1,308.0,0,129000
17503,NAmes,6,5,1948,912.0,912,546,1,0,3,1,330.0,0,97500
6979,OldTown,6,5,1980,1056.0,1056,0,0,0,0,2,576.0,0,144000
9830,NAmes,5,7,1959,1063.0,1287,0,1,0,3,1,576.0,0,162000
11275,NAmes,7,7,1967,710.0,1898,1080,2,1,5,1,564.0,0,242000
8064,NAmes,6,8,1948,816.0,816,408,1,0,3,1,280.0,0,132000
7500,NAmes,5,7,1959,1246.0,1246,0,1,1,3,1,305.0,0,154000
8520,NAmes,5,4,1952,910.0,910,475,2,0,4,1,720.0,0,166000
7200,NAmes,5,7,1951,900.0,900,0,1,0,3,1,576.0,0,134800
10000,NAmes,6,6,1962,1116.0,1116,0,1,1,3,1,440.0,0,160000
7635,NAmes,5,6,1960,1175.0,1175,0,1,1,3,1,484.0,0,148000
9760,NAmes,6,7,1963,1395.0,1395,0,1,0,2,1,440.0,0,192000
7700,NAmes,6,5,1966,756.0,1051,788,1,1,4,1,442.0,0,155000
4800,OldTown,4,5,1900,709.0,1157,687,1,0,3,1,240.0,0,80400
8800,OldTown,4,7,1910,576.0,792,348,1,0,3,1,0.0,0,96500
4485,OldTown,5,7,1920,936.0,936,0,1,0,2,1,0.0,0,109500
8960,OldTown,5,6,1927,1008.0,1028,0,1,0,2,1,360.0,0,115000
5805,OldTown,5,7,1957,1347.0,1347,0,1,0,3,1,551.0,0,143000
5790,OldTown,3,6,1915,840.0,840,765,2,0,3,2,379.0,0,107400
4608,OldTown,4,6,1945,747.0,747,0,1,0,2,1,220.0,0,80000
7200,OldTown,5,7,1940,788.0,804,0,1,0,2,1,240.0,0,119000
5500,OldTown,5,7,1929,926.0,926,0,1,0,3,1,484.0,0,130000
6900,OldTown,6,7,1938,827.0,827,424,1,0,3,1,240.0,0,119000
11851,OldTown,5,7,1948,1027.0,1027,606,1,0,3,1,240.0,0,129000
8239,OldTown,5,6,1920,1008.0,1060,185,1,0,3,1,315.0,0,100000
9656,OldTown,2,2,1923,678.0,832,0,1,0,2,1,780.0,0,12789
8520,OldTown,6,8,1928,624.0,720,0,1,0,2,1,484.0,0,105900
9600,OldTown,8,9,1900,930.0,930,636,2,0,3,1,288.0,0,150000
10800,OldTown,5,6,1915,686.0,966,686,2,0,4,1,416.0,0,139000
9000,OldTown,8,9,1890,346.0,1157,1111,3,0,3,1,624.0,0,240000
9045,OldTown,5,3,1910,840.0,1128,1128,2,0,4,2,0.0,0,76500
7407,OldTown,6,7,1957,912.0,1236,0,1,0,2,1,923.0,0,149700
7740,OldTown,4,7,1910,622.0,741,622,1,0,3,1,528.0,0,125500
11340,OldTown,4,6,1885,777.0,1246,1044,2,0,4,2,560.0,0,122500
10560,OldTown,6,7,1922,738.0,868,602,1,1,2,1,624.0,0,140750
5830,BrkSide,5,6,1950,988.0,1030,582,1,1,3,1,363.0,0,128500
7793,BrkSide,7,7,1922,1108.0,1160,908,1,1,3,1,315.0,0,209500
5000,BrkSide,4,7,1925,765.0,765,0,1,0,2,1,200.0,0,87000
6000,BrkSide,6,7,1939,608.0,608,524,1,0,2,1,240.0,0,134000
6000,BrkSide,6,6,1940,572.0,848,348,1,1,3,1,576.0,0,128000
6360,BrkSide,5,6,1942,835.0,955,498,1,1,3,1,240.0,0,132000
6000,BrkSide,6,7,1948,780.0,780,636,1,1,3,1,312.0,0,139900
6240,BrkSide,5,7,1936,528.0,548,492,1,0,2,1,624.0,0,123900
6240,BrkSide,5,5,1930,928.0,928,608,2,0,4,1,480.0,0,138400
6120,OldTown,6,5,1923,1124.0,1068,0,1,0,2,1,288.0,0,109500
10300,OldTown,7,6,1921,576.0,902,808,2,0,3,1,480.0,0,140000
8094,OldTown,4,5,1915,888.0,888,1074,1,1,4,1,572.0,0,149500
12900,OldTown,6,8,1912,780.0,780,780,1,1,3,1,0.0,0,159900
3068,OldTown,6,8,1920,662.0,662,662,1,0,3,1,180.0,0,122000
8472,IDOTRR,5,5,1963,816.0,816,0,1,0,2,1,516.0,0,110000
5600,IDOTRR,4,5,1930,0.0,372,720,2,0,3,2,0.0,0,55000
7630,OldTown,5,9,1900,360.0,1032,780,2,0,4,2,672.0,0,140000
24090,ClearCr,7,7,1940,1032.0,1207,1196,2,0,4,1,349.0,0,244400
15263,ClearCr,5,5,1959,1422.0,1675,0,2,0,3,1,365.0,0,173000
10632,ClearCr,5,3,1917,689.0,725,499,1,1,3,1,180.0,0,107500
9900,SWISU,5,4,1915,1212.0,1212,180,1,0,3,1,0.0,0,100000
6001,SWISU,6,5,1940,600.0,600,319,1,0,3,1,231.0,0,95000
6449,SWISU,4,1,1907,707.0,942,942,1,1,4,1,0.0,0,93369
6048,SWISU,5,7,1910,856.0,936,744,2,0,2,2,450.0,0,114900
6342,Sawyer,5,8,1875,780.0,780,240,1,0,2,1,0.0,0,94000
10773,Sawyer,4,3,1967,1832.0,1832,0,2,0,4,2,0.0,0,136000
10778,Sawyer,4,5,1968,1768.0,1768,0,2,0,4,2,0.0,0,136500
11625,Sawyer,5,4,1965,1039.0,1039,0,1,1,3,1,504.0,0,131500
11341,Sawyer,5,6,1957,1392.0,1392,0,1,1,3,1,528.0,0,121500
8521,Sawyer,5,5,1967,912.0,912,0,1,0,3,1,336.0,0,125000
8246,Sawyer,5,8,1968,1060.0,1060,0,1,0,3,1,270.0,0,154000
7800,Sawyer,5,7,1966,864.0,892,0,1,0,3,1,416.0,0,137900
9364,Sawyer,6,7,1969,663.0,663,689,1,1,4,1,299.0,0,158000
7832,Sawyer,5,5,1968,864.0,864,0,1,0,2,1,280.0,0,137250
7424,Sawyer,5,5,1978,1319.0,1373,0,1,0,3,1,591.0,0,160250
11227,Sawyer,5,5,1968,720.0,720,720,1,1,4,1,480.0,0,163000
11616,Sawyer,6,5,1978,672.0,672,714,2,1,3,1,440.0,0,158900
14000,ClearCr,7,5,1996,1306.0,1306,954,2,1,3,1,533.0,0,328000
20062,ClearCr,7,7,1977,1420.0,1483,0,1,1,1,1,690.0,0,270000
9259,Sawyer,4,4,1927,660.0,756,0,1,0,2,1,440.0,0,85000
9600,Sawyer,4,7,1950,1067.0,1067,0,2,0,2,1,436.0,0,128000
23595,ClearCr,7,6,1979,1332.0,1332,192,0,1,0,1,586.0,0,260000
17082,ClearCr,6,5,1978,1117.0,1117,864,2,1,4,1,522.0,0,230000
18600,Edwards,3,4,1938,972.0,1052,558,2,0,4,1,480.0,0,124000
10625,Edwards,5,5,1920,458.0,835,0,1,0,2,1,366.0,0,83000
11479,Edwards,6,7,1950,663.0,1074,0,1,0,3,1,467.0,0,144500
9571,Edwards,5,6,1956,1144.0,1144,0,1,0,3,1,596.0,0,129000
9350,Edwards,4,6,1947,756.0,1169,0,1,0,3,1,209.0,0,127000
9525,Edwards,5,7,1954,1172.0,1172,0,1,0,3,1,366.0,0,128000
10420,Edwards,6,5,2009,1212.0,1212,0,2,0,3,1,460.0,0,186000
17485,Edwards,7,5,2009,1508.0,1508,0,1,0,1,1,572.0,0,308030
11200,Edwards,5,3,1964,1250.0,1298,0,2,0,3,1,504.0,0,114000
11100,Edwards,4,7,1946,0.0,930,0,1,0,2,1,308.0,0,84900
9206,SawyerW,6,5,1985,741.0,977,755,2,1,3,1,476.0,0,178000
11980,SawyerW,7,5,1987,1433.0,1433,0,1,1,1,1,528.0,0,270000
12361,SawyerW,6,7,1993,946.0,964,838,2,1,3,1,1017.0,0,218000
9938,SawyerW,7,5,1993,1050.0,1062,887,2,1,3,1,574.0,0,236000
9069,SawyerW,6,6,1992,936.0,996,0,1,0,2,1,564.0,0,147000
10475,CollgCr,8,5,2008,1694.0,1694,0,2,0,3,1,776.0,0,245350
6762,CollgCr,7,5,2006,1187.0,1208,0,2,0,2,1,632.0,0,206000
10402,CollgCr,7,5,2009,1226.0,1226,0,2,0,3,1,740.0,0,198900
7360,CollgCr,7,5,2010,1222.0,1222,0,2,0,2,1,615.0,0,187000
12376,SawyerW,7,5,1990,1673.0,1699,1523,3,0,5,1,594.0,0,320000
14235,SawyerW,6,8,1900,676.0,831,614,2,0,3,1,484.0,0,138500
8816,ClearCr,6,7,1971,1010.0,1052,0,1,0,3,1,440.0,0,155000
11105,CollgCr,5,5,1996,870.0,965,0,1,0,2,1,580.0,0,159000
9337,CollgCr,7,5,1997,878.0,892,800,2,1,3,1,513.0,0,191000
8750,CollgCr,6,5,1998,804.0,804,878,2,1,3,1,523.0,0,200500
15240,CollgCr,5,8,1977,1026.0,1026,0,1,1,3,1,308.0,0,150000
10900,CollgCr,6,7,1977,689.0,689,703,1,1,3,1,299.0,0,161750
10650,CollgCr,5,6,1976,894.0,894,0,1,0,3,1,308.0,0,128200
7480,CollgCr,5,6,1972,876.0,876,0,1,0,3,1,484.0,0,127000
10389,CollgCr,8,5,2003,1978.0,1978,0,2,1,3,1,850.0,0,318000
11423,CollgCr,8,5,2001,1581.0,1601,0,2,0,3,1,670.0,0,272000
9548,CollgCr,7,6,2003,941.0,941,888,2,1,3,1,613.0,0,237000
9375,CollgCr,7,5,1997,1040.0,1044,1054,2,1,4,1,621.0,0,240000
12137,CollgCr,7,5,1998,1649.0,1661,0,2,0,3,1,598.0,0,224900
4435,CollgCr,6,5,2003,848.0,848,0,1,0,1,1,420.0,0,143750
4426,CollgCr,6,5,2004,848.0,848,0,1,0,1,1,420.0,0,143000
10635,CollgCr,8,5,2003,1657.0,1668,0,2,0,3,1,502.0,0,232000
8400,CollgCr,7,5,2004,1473.0,1484,0,2,0,3,1,606.0,0,213000
8773,CollgCr,7,5,2004,1414.0,1414,0,2,0,3,1,494.0,0,185500
8777,Edwards,3,6,1945,0.0,640,0,1,0,2,1,240.0,0,84900
8842,Edwards,5,6,1954,381.0,992,0,1,0,3,1,319.0,0,155891
9825,Edwards,5,5,1965,0.0,1664,0,2,0,4,2,0.0,0,100000
10044,Edwards,5,6,1968,1196.0,1196,0,1,0,3,1,336.0,0,144000
11792,Edwards,4,5,1948,744.0,792,328,1,0,2,1,480.0,0,64000
6305,Edwards,6,6,1975,1008.0,1096,0,1,0,3,1,352.0,0,125200
7819,Edwards,6,5,1976,1029.0,1117,0,1,0,3,1,672.0,0,107000
6410,Edwards,4,5,1958,960.0,960,0,1,0,3,1,0.0,0,90000
8546,Edwards,4,5,2003,1121.0,1121,0,2,0,2,1,440.0,0,140000
8741,Edwards,6,4,1945,735.0,798,689,1,1,3,1,220.0,0,113000
12180,Edwards,4,4,1941,672.0,672,252,1,0,2,1,280.0,0,80000
8562,Edwards,5,6,1957,1216.0,1526,0,1,0,4,1,364.0,0,144500
4853,SWISU,5,6,1924,1107.0,1296,0,2,0,2,1,260.0,0,104000
6858,SWISU,6,4,1915,806.0,841,806,1,1,4,1,216.0,0,128000
8212,Edwards,3,3,1914,864.0,864,0,1,0,2,1,200.0,0,58500
5000,SWISU,5,6,1924,1026.0,1026,665,2,0,3,1,308.0,0,127000
7890,SWISU,6,6,1939,856.0,856,0,1,0,2,1,399.0,0,126000
7200,SWISU,4,6,1967,0.0,862,1788,3,0,6,2,0.0,0,160000
9839,SWISU,5,2,1931,894.0,894,772,1,0,3,1,0.0,0,100000
9638,SWISU,6,7,1919,804.0,1699,748,2,0,4,1,336.0,0,169000
10452,Crawfor,7,6,1941,1528.0,1225,908,1,1,4,1,312.0,0,257500
15600,Crawfor,5,6,1950,1032.0,1102,1075,2,1,5,2,484.0,0,215000
9042,Crawfor,7,9,1941,1152.0,1188,1152,2,0,4,1,252.0,0,266500
17500,Crawfor,7,8,1959,1902.0,1902,0,2,0,3,1,567.0,0,335000
19645,Crawfor,7,6,1994,423.0,896,756,2,1,3,1,473.0,0,203135
3907,Blueste,8,6,1989,982.0,1034,0,1,0,1,1,598.0,0,185000
3907,Blueste,8,5,1989,1191.0,1191,0,2,0,2,1,531.0,0,162500
15602,Crawfor,7,8,1959,1501.0,1801,0,2,0,1,1,484.0,0,289000
5436,IDOTRR,4,8,1922,796.0,796,358,1,0,3,1,240.0,0,125500
8154,IDOTRR,2,5,1941,480.0,540,0,1,0,1,1,200.0,0,82000
9140,IDOTRR,6,5,1921,629.0,727,380,1,0,2,1,625.0,0,110000
7500,IDOTRR,4,4,1920,698.0,698,430,1,0,2,1,528.0,0,68400
8712,IDOTRR,4,7,1900,859.0,859,319,1,0,2,1,384.0,0,102776
8712,IDOTRR,5,5,1952,540.0,1044,0,1,0,2,1,504.0,0,55993
8712,IDOTRR,4,7,1896,756.0,952,0,1,0,3,1,330.0,0,50138
3811,Crawfor,8,5,2004,1594.0,1646,0,2,0,2,1,525.0,0,246000
11050,Mitchel,8,5,1998,1049.0,1036,880,2,1,3,1,741.0,0,254900
9620,Mitchel,6,7,1977,1243.0,1285,0,2,0,3,1,473.0,0,190000
9196,Mitchel,7,5,2003,1560.0,1560,0,2,0,3,1,573.0,0,201000
12328,Mitchel,6,5,1976,1012.0,1034,0,1,0,3,1,888.0,0,169900
12760,Mitchel,6,5,1976,1958.0,2048,0,3,0,5,2,776.0,0,170000
57200,Timber,5,5,1948,747.0,1687,0,1,0,3,1,572.0,0,160000
11896,Timber,7,5,2008,1336.0,1346,0,2,0,3,1,660.0,0,220000
9803,Timber,7,5,2009,1214.0,1214,0,2,0,2,1,520.0,0,179781
9802,Timber,5,5,2006,384.0,744,700,2,1,3,1,400.0,0,174000
12003,Timber,8,5,2009,774.0,774,1194,2,1,4,1,680.0,0,269500
11316,Timber,7,5,2002,817.0,824,1070,2,1,4,1,510.0,0,214900
14191,Timber,8,5,2002,967.0,993,915,2,1,4,1,431.0,0,202900
13214,Timber,9,5,2008,2002.0,2018,0,2,0,3,1,746.0,0,378500
15300,Mitchel,5,5,1965,1068.0,1264,0,1,0,2,1,528.0,0,169000
10114,Mitchel,5,5,2004,1430.0,1430,0,2,0,3,1,624.0,0,173500
9400,Mitchel,6,5,1971,912.0,912,912,2,2,4,2,0.0,0,139000
11875,Mitchel,5,5,1999,1344.0,1344,0,2,0,3,1,686.0,0,166500
1974,MeadowV,4,5,1973,546.0,546,546,1,1,3,1,286.0,0,83500
2394,MeadowV,5,6,1973,945.0,945,0,1,0,2,1,253.0,0,119500
2592,MeadowV,5,3,1976,536.0,536,576,1,1,3,1,336.0,0,85000
1476,MeadowV,4,7,1970,546.0,546,546,1,1,3,1,0.0,0,76000
1491,MeadowV,4,6,1972,630.0,630,0,1,0,1,1,0.0,0,75500
